name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
My Mistakes,My Mistakes,Matthew Nolan,01iY9wuMjG4Q5GMCebu27S,2020-07-10,52,194166,0.464,0.878,0.268,0.0,0.0939,0.167,-10.288,0.0464,143.755,8,4,Sad
Blame,Blame,Grace Carter,6pQUQdaZacg722q6sg6fPR,2020-07-17,63,251527,0.34,0.781,0.398,6.08e-05,0.193,0.197,-8.156,0.0711,171.391,6,3,Sad
Diamonds - Acoustic,Diamonds (Acoustic),Sam Smith,4y8OZW2dyWRobsi2w0C64W,2020-10-09,62,194541,0.489,0.841,0.284,0.0,0.137,0.335,-8.699,0.0508,186.337,10,4,Sad
Young & Sad,THE END OF EVERYTHING,Noah Cyrus,0gySkOOewOdZtHG8stPEB8,2020-05-15,67,190182,0.618,0.592,0.428,0.0,0.192,0.359,-8.5,0.038,142.021,7,4,Sad
Seven,Seven,Claudia Valentina,7FRICngbPiyTPEKF7wRC9G,2020-06-26,60,223826,0.801,0.865,0.143,0.0,0.132,0.562,-10.698,0.0475,119.891,7,4,Sad
I Miss You - Paddy's Song,Boxes EP,Gavin James,6Lqa8EZSaGEl80rojsrz1B,2020-10-02,47,209006,0.523,0.553,0.377,0.0,0.116,0.234,-7.914,0.0293,139.897,9,4,Sad
Swingsets,Swingsets,Nell Mescal,6UElPL7agw60e5IaaQBptJ,2020-11-12,51,196875,0.378,0.74,0.265,0.0643,0.101,0.182,-10.336,0.0292,76.097,8,4,Sad
hurt so bad,hurt so bad,Cian Ducrot,5c1gKtJkR8dPjki25BU7Qz,2020-07-02,10,242488,0.461,0.337,0.452,0.0,0.269,0.282,-6.529,0.0366,168.074,2,3,Sad
Wait For Me,Wait For Me,Jack Curley,3UktGQO4TaIN3Jn7YtJoZr,2020-02-21,0,221728,0.73,0.448,0.688,0.0,0.0954,0.694,-7.56,0.0307,135.986,10,4,Sad
Can't Wait To Be Dead,Can't Wait To Be Dead,FINNEAS,0gqGNbqhZ0RLp3ypz51cHY,2020-10-21,62,175969,0.724,0.0122,0.438,2.91e-05,0.0954,0.322,-8.477,0.0285,99.947,9,4,Sad
Call Me When It's Over,Call Me When It’s Over,James Smith,3pg8SqwcnJgHPcnWBY9tVB,2020-05-08,58,227800,0.482,0.627,0.347,3.69e-05,0.144,0.511,-9.776,0.0472,172.732,6,4,Sad
Recover,Recover,FWA,6LNo6t9HD5rARtlh8rbi40,2020-10-08,51,168467,0.487,0.857,0.234,0.0,0.195,0.54,-6.919,0.0441,179.239,11,4,Sad
Bedroom Ceiling,Bedroom Ceiling,Sody,1jXKRARVJQFG3jTvZEgxsP,2020-05-28,58,180085,0.49,0.728,0.416,0.0,0.0694,0.236,-7.702,0.127,125.928,6,4,Sad
Part Of Me,Part Of Me,Joel Baker,6NbdLcRduH8VWgBrX2fJby,2020-11-20,50,174049,0.629,0.683,0.473,0.0,0.152,0.245,-5.571,0.0331,84.822,9,4,Sad
Elsewhere,Elsewhere,Minke,28WzLDIBpcD5UhWIOktTrr,2020-05-01,51,272727,0.549,0.926,0.186,0.0004,0.151,0.199,-13.781,0.0274,110.152,0,4,Sad
Love You Twice,Love You Twice,Lilla Vargen,7xWIEXBRkxD30V28lTjVJg,2020-04-24,34,204736,0.497,0.864,0.118,4.13e-05,0.116,0.164,-11.996,0.0318,95.113,7,3,Sad
Friend,minor,Gracie Abrams,6fGSHpEipD1YjtLLChnBzW,2020-07-14,66,176946,0.7,0.742,0.494,0.0,0.304,0.229,-4.908,0.0463,132.943,4,4,Sad
Rescue Me,Rescue Me,James Gillespie,4f4cfvGeRK3t2rNZcB4ybd,2020-04-24,53,196026,0.56,0.355,0.712,1.83e-05,0.212,0.375,-7.862,0.0574,80.919,10,4,Sad
Slow Motion,Slow Motion,Charlotte Lawrence,09svEvkmTi9vw4kWRyBC6X,2020-07-24,66,183849,0.665,0.423,0.61,0.0,0.127,0.473,-7.655,0.0436,127.976,0,4,Sad
If We're Being Honest,If We're Being Honest,Novo Amor,6CfAtjogau9v9kmtZVrNG8,2020-09-03,57,235053,0.498,0.888,0.432,0.617,0.136,0.126,-7.297,0.0296,132.928,3,4,Sad
"Boring, Happy, Beautiful","Boring, Happy, Beautiful",Sianon,0W4prfO7VR3dDo1PfINTXE,2020-11-20,48,168522,0.401,0.879,0.215,0.0,0.134,0.166,-10.349,0.0649,172.109,7,5,Sad
Why Can't You See Me?,All Together Now,KOKO,02ep6lpHWdBFRo1z38PMNr,2020-10-30,49,197578,0.389,0.883,0.248,1.95e-06,0.0588,0.179,-15.403,0.0441,68.717,0,4,Sad
Overused (feat. gnash),Overused (feat. gnash),Clara Mae,74I76sDq0rPJV3FP4fq44d,2020-05-22,56,161195,0.503,0.647,0.525,0.0,0.104,0.681,-7.79,0.134,115.6,0,4,Sad
Little Girl,Little Girl,Arlissa,1FL6GINife5SKLMJOJpvff,2020-10-23,49,226392,0.518,0.539,0.659,0.0,0.102,0.224,-4.935,0.0407,139.813,11,4,Sad
Charlotte,Charlotte,Sody,7wDn727BWO03K7A4kNoVtw,2020-03-27,0,216624,0.363,0.622,0.339,0.000107,0.0968,0.0484,-10.208,0.133,178.405,0,3,Sad
Crawl,Crawl,Blakey,4UwI05z2cvRJpChY8qmOop,2020-05-22,48,188571,0.707,0.63,0.492,0.0,0.434,0.693,-7.294,0.0766,112.017,4,5,Sad
Choices,Choices,Benedict Cork,6cnurFx9S8dHnzEwfvEdLF,2020-09-02,51,188800,0.405,0.921,0.155,1.2e-06,0.116,0.152,-12.775,0.056,68.694,0,4,Sad
Jocelyn Flores,17,XXXTENTACION,7m9OqQk4RVRkw9JJdeAw96,2017-08-25,88,119133,0.872,0.469,0.391,4.13e-06,0.297,0.437,-9.144,0.242,134.021,0,4,Sad
when the party's over,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,43zdsphuZLzwA9k4DJhU0I,2019-03-29,86,196077,0.367,0.978,0.111,3.97e-05,0.0897,0.198,-14.084,0.0972,82.642,4,4,Sad
Happier,÷ (Deluxe),Ed Sheeran,2RttW7RAu5nOAfq6YFvApB,2017-03-03,83,207520,0.522,0.536,0.385,0.0,0.135,0.236,-7.355,0.0288,89.792,0,4,Sad
Be Alright,A Place We Knew,Dean Lewis,5qrSlOut2rNAWv3ubArkNy,2019-03-22,77,196493,0.551,0.705,0.537,0.0,0.0802,0.493,-7.595,0.034,126.421,11,4,Sad
Someone Like You,21,Adele,4kflIGfjdZJW4ot2ioixTB,2011-01-19,42,285040,0.559,0.892,0.33,0.0,0.0975,0.285,-8.251,0.0285,135.109,9,4,Sad
idfc,deadroses,blackbear,6y6jbcPG4Yn3Du4moXaenr,2015-02-14,80,245172,0.63,0.611,0.5,4.04e-05,0.114,0.315,-8.755,0.0611,144.871,1,4,Sad
changes,?,XXXTENTACION,7AFASza1mXqntmGtbxXprO,2018-03-16,85,121886,0.669,0.883,0.308,0.0,0.0984,0.52,-10.068,0.029,64.934,11,4,Sad
Unseen,Unseen,HenryDaher,0pJfsxFTaXoFrOtHCoUl4Z,2021-02-12,59,198904,0.381,0.848,0.437,0.0378,0.109,0.124,-11.683,0.0659,145.935,9,4,Sad
Robbery,Death Race For Love,Juice WRLD,6Hj9jySrnFppAI0sEMCZpJ,2019-03-08,88,240050,0.685,0.328,0.692,0.0,0.153,0.578,-5.122,0.0457,159.966,2,5,Sad
Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),Kina,4ZLzoOkj0MPWrTLvooIuaa,2018-10-08,85,179080,0.498,0.72,0.235,0.0,0.144,0.0895,-16.541,0.188,118.917,1,4,Sad
Memories,Memories,Jacob Tillberg,5l2GIiGkjbcuSIhCV08Zhj,2019-08-10,54,185425,0.57,0.703,0.671,0.000423,0.106,0.233,-8.421,0.0452,144.108,7,3,Sad
Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,7qEHsqek33rTcFNT9PFqLf,2019-05-17,91,182160,0.501,0.751,0.405,0.0,0.105,0.446,-5.679,0.0319,109.891,1,4,Sad
7 Years,Lukas Graham,Lukas Graham,5kqIPrATaCc2LqxVWzQGbk,2016-04-01,81,237300,0.765,0.287,0.473,0.0,0.391,0.34,-5.829,0.0514,119.992,10,4,Sad
all that i need,all that i need,eli.,6HqogfGRuNpz7NA4u0x8Ea,2021-03-19,53,153000,0.522,0.00596,0.549,0.0,0.0834,0.243,-7.575,0.0436,160.023,1,4,Sad
Half A Man,A Place We Knew,Dean Lewis,6WU74yOM3Evu2hoyy2g5g5,2019-03-22,0,179120,0.507,0.855,0.204,0.0,0.143,0.343,-11.575,0.0504,77.765,0,4,Sad
Everybody Dies In Their Nightmares,17,XXXTENTACION,3GVkPk8mqxz0itaAriG1L7,2017-08-25,86,95466,0.734,0.847,0.57,2.14e-05,0.112,0.689,-7.066,0.133,129.953,7,4,Sad
Let It Go,Chaos And The Calm,James Bay,13HVjjWUZFaWilh2QUJKsP,2014-12-15,74,260533,0.546,0.818,0.311,1.65e-05,0.107,0.246,-10.396,0.0288,147.464,1,4,Sad
1-800-273-8255,Everybody,Logic,5tz69p7tJuGPeMGwNTxYuV,2017-05-05,80,250173,0.62,0.569,0.574,0.0,0.19,0.357,-7.788,0.0479,100.023,5,4,Sad
"i hate u, i love u (feat. olivia o'brien)",us,gnash,7vRriwrloYVaoAe3a9wJHe,2016-03-25,81,251033,0.492,0.687,0.275,0.0,0.101,0.18,-13.4,0.3,92.6,6,4,Sad
Bruises,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,4Of7rzpRpV1mWRbhp5rAqG,2019-05-17,84,220492,0.736,0.946,0.308,0.0,0.186,0.361,-7.83,0.0677,111.202,4,4,Sad
Arms Around You,Arms Around You,Jamie Grey,32zCAMtxlehzVD0YOVzVkz,2020-05-15,61,191146,0.53,0.841,0.271,0.0,0.103,0.392,-9.847,0.0491,101.796,11,4,Sad
lovely (with Khalid),lovely (with Khalid),Billie Eilish,0u2P5u6lvoDfwTYjAADbn4,2018-04-19,89,200185,0.351,0.934,0.296,0.0,0.095,0.12,-10.109,0.0333,115.284,4,4,Sad
Black Hole,Black Hole,Eiza Murphy,1QT31MaHN5CECo6oTr8u1u,2020-10-15,49,209708,0.375,0.834,0.318,1.97e-06,0.16,0.211,-13.802,0.0908,152.46,1,3,Sad
Dancing With A Stranger (With Normani) - Acoustic,Dancing With A Stranger (With Normani) [Acoustic],Sam Smith,29f11nLUcMYQ2Ndbnb7N0o,2019-02-15,63,187621,0.623,0.89,0.276,0.0,0.146,0.308,-8.893,0.0287,99.623,5,4,Sad
Circles,Who I Am,Wyn Starks,79OrQ9MZeot4ymvsjw2YJZ,2020-10-16,48,167762,0.644,0.456,0.437,8.14e-05,0.0643,0.609,-6.678,0.0254,96.954,11,3,Sad
Lost Without You,Lost Without You,Freya Ridings,26z6V1SijQq6J3gPIu1H7t,2017-11-03,0,225076,0.409,0.928,0.137,0.0,0.0706,0.106,-9.169,0.0446,162.08,6,1,Sad
Say Something,Is There Anybody Out There?,A Great Big World,6Vc5wAMmXdKIAM7WUoEb7N,2014-01-20,78,229400,0.407,0.857,0.147,2.89e-06,0.0913,0.0765,-8.822,0.0355,141.284,2,3,Sad
my future,my future,Billie Eilish,2ygvZOXrIeVL4xZmAWJT2C,2020-07-30,81,208155,0.444,0.795,0.309,0.132,0.352,0.0875,-10.956,0.062,104.745,8,4,Sad
Marlboro,Till We Feel Something,Prince of Falls,5e8yGIFZEt73yKPMLiKHKo,2019-08-15,34,220682,0.777,0.0505,0.311,6.2e-05,0.0847,0.221,-12.205,0.102,133.985,9,4,Sad
Nude,In Rainbows,Radiohead,5k7VKj1Xwy5DjO4B0PdAOb,2007-12-28,24,255386,0.537,0.833,0.342,0.6,0.0856,0.156,-9.785,0.0338,128.331,4,3,Sad
Fix You,X&Y,Coldplay,7LVHVU3tWfcxj5aiPFEW4Q,2005-06-07,83,295533,0.209,0.164,0.417,0.00196,0.113,0.124,-8.74,0.0338,138.178,3,4,Sad
XO,i think you think too much of me,EDEN,0ZAiqymvbQUZAh9y6ZT3Rm,2016-08-19,74,159512,0.611,0.625,0.39,0.0,0.118,0.617,-5.861,0.116,163.897,2,4,Sad
Coaster,American Teen,Khalid,39KG4kom3enSx4GTThuDGt,2017-04-27,77,199120,0.441,0.935,0.219,0.0,0.115,0.244,-14.586,0.0419,94.021,8,4,Sad
Not About Angels,Not About Angels,Birdy,5sF7hdYvhrcgNq8NZjfK8L,2014-04-13,75,189475,0.405,0.964,0.111,4.37e-05,0.0872,0.219,-11.879,0.0369,116.86,0,4,Sad
Breathe Me,Colour The Small One,Sia,7jqzZyJJLrpkRFYGpkqSK6,2004-01-01,68,272800,0.552,0.0364,0.643,0.74,0.105,0.212,-7.36,0.0327,120.012,0,4,Sad
Broken,Broken,Lund,79DF4VeuuI0Y7NOrimSmR5,2016-10-26,0,200597,0.827,0.0524,0.599,0.000646,0.108,0.13,-2.046,0.0414,134.003,0,4,Sad
Hold Me While You Wait,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,60iSKGrGazRzICtMjADNSM,2019-05-17,82,205686,0.688,0.443,0.53,0.0,0.0995,0.162,-5.507,0.0333,106.958,11,4,Sad
If The World Was Ending,If The World Was Ending,JP Saxe,6dTBKBqIN4324sThIkZpMj,2019-10-17,65,208687,0.378,0.863,0.47,0.0,0.0954,0.602,-10.095,0.197,75.955,1,4,Sad
Say You Won't Let Go,Back from the Edge,James Arthur,5uCax9HTNlzGybIStD3vDh,2016-10-28,87,211466,0.358,0.695,0.557,0.0,0.0902,0.494,-7.398,0.059,85.043,10,4,Sad
Let You Down,Perception,NF,6mrKP2jyIQmM0rw6fQryjr,2017-10-06,3,212120,0.659,0.33,0.716,0.0,0.173,0.437,-5.673,0.111,148.015,5,4,Sad
Aesthetic,Aesthetic,Xilo,4jY3GWEqlrTALvVE1j7VHI,2020-02-14,70,158435,0.714,0.965,0.594,0.255,0.129,0.45,-10.63,0.43,169.837,0,4,Sad
Coaster,Coaster,Khalid,7xSNmARgtbYjg9KqB4QA8P,2016-12-16,53,200745,0.486,0.938,0.204,0.0,0.108,0.243,-14.511,0.0449,126.144,8,5,Sad
Let Her Go - Acoustic,All The Little Lights,Passenger,7CzVAhQeZfTLqNnzdAiqrH,2012-11-05,63,266746,0.553,0.943,0.0748,0.0,0.0822,0.256,-13.781,0.0496,141.341,4,4,Sad
Moonlight,YOU,Ali Gatie,6L4F4btXioJPhEwz6T7YYt,2019-11-08,71,228853,0.804,0.495,0.48,0.0,0.105,0.461,-6.662,0.0321,120.002,11,4,Sad
Stay,Unapologetic (Deluxe),Rihanna,0GNI8K3VATWBABQFAzBAYe,2012-12-11,77,240706,0.621,0.945,0.31,6.12e-05,0.117,0.125,-10.164,0.0283,111.893,9,4,Sad
You're Beautiful,Back to Bedlam,James Blunt,0vg4WnUWvze6pBOJDTq99k,2005-08-08,77,209493,0.675,0.633,0.479,1.76e-05,0.088,0.454,-9.87,0.0278,81.998,0,4,Sad
Breakeven,The Script,The Script,285hMzLhJwHVLe9QT9qilk,2008-07-14,74,261426,0.63,0.144,0.696,0.0,0.0835,0.491,-4.501,0.0242,94.034,10,4,Sad
Fire In The Trees,Fire In The Trees,Reyn Hartley,0ci698x3lWESOyA9OtpFcK,2021-04-02,34,223306,0.399,0.719,0.546,0.136,0.0974,0.204,-8.072,0.0573,127.374,11,4,Sad
Yellow,Parachutes,Coldplay,3AJwUDP919kvQ9QcozQPxg,2000-07-10,86,266773,0.429,0.00239,0.661,0.000121,0.234,0.285,-7.227,0.0281,173.372,11,4,Sad
July,THE END OF EVERYTHING,Noah Cyrus,6J2LdBN97cDWn0MLxYh9HB,2020-05-15,85,156106,0.708,0.868,0.186,0.0,0.0779,0.322,-8.953,0.042,72.541,9,4,Sad
Sundress,Sundress,MC Virgins,2O37qWcDgagAXrGCIyeIeb,2021-03-26,62,156143,0.87,0.238,0.645,1.26e-05,0.293,0.739,-7.833,0.274,122.975,0,4,Sad
Feel,Escapology,Robbie Williams,2Ms33RTRCT6gArrpcrPxmo,2002,74,263866,0.599,0.0145,0.732,0.000467,0.143,0.295,-6.843,0.026,97.997,5,4,Sad
Hurt,The Legend Of Johnny Cash,Johnny Cash,5VFzIzR8nACf9Bad4O73f6,2005-01-01,0,218586,0.514,0.827,0.292,0.00223,0.0926,0.157,-11.768,0.0291,90.459,9,4,Sad
Midnight Masquerade,Midnight Masquerade,Asher Monroe,6FEaWUN9OT9RvPCzlKVqKQ,2021-02-19,26,218566,0.507,0.123,0.743,4.94e-06,0.0962,0.348,-6.858,0.0523,116.027,11,3,Sad
Here Without You,The Greatest Hits,3 Doors Down,135cNW8kQtiTId7qcsJfVC,2012-01-01,59,235640,0.469,0.00815,0.67,0.0,0.132,0.158,-4.604,0.027,144.045,10,4,Sad
Happiest Year,Happiest Year,Jaymes Young,5kcvBnt6DPX3AMEsCx1qDh,2019-07-12,83,228442,0.501,0.885,0.167,0.0,0.111,0.356,-14.061,0.0484,112.275,1,3,Sad
the remedy for a broken heart (why am I so in love),?,XXXTENTACION,4UKCKdYiLN6IMA5ZESUTL7,2018-03-16,84,160184,0.699,0.779,0.304,0.000993,0.137,0.271,-11.192,0.0993,119.705,1,4,Sad
A Drop In The Ocean,The Bedroom Demos,Ron Pope,5JDcQAztvZTIkrWoZihgvC,2008-05-04,72,220239,0.447,0.785,0.393,0.0,0.28,0.564,-8.65,0.038,73.139,5,3,Sad
How to Save a Life,How To Save A Life,The Fray,5fVZC9GiM4e8vu99W0Xf6J,2005-09-13,83,262533,0.64,0.269,0.743,0.0,0.101,0.361,-4.08,0.0379,122.035,10,4,Sad
No Surprises,OK Computer,Radiohead,1bSpwPhAxZwlR2enJJsv7U,1997-05-28,30,229120,0.255,0.0577,0.393,0.00361,0.113,0.118,-10.654,0.0278,76.426,5,4,Sad
Six Feet Under,Six Feet Under,Billie Eilish,2VlLbhGLVJgdOW7kKdWWFc,2016-11-17,77,189613,0.576,0.807,0.307,0.000355,0.0792,0.157,-12.732,0.0428,67.513,11,4,Sad
Lo Mein,R.U.OK,HenryDaher,10Z6GU0Kkz66beckKiIUM9,2021-03-12,40,138333,0.723,0.631,0.658,0.00102,0.117,0.476,-8.957,0.0851,143.977,7,4,Sad
you were good to me (bonus track),love is not dying,Jeremy Zucker,0JnSoyZMTYZLWFVdVT1JFZ,2020-04-17,23,219146,0.469,0.897,0.08,4.22e-05,0.112,0.206,-15.489,0.0425,101.238,2,4,Sad
Heart of Gold - 2009 Remaster,Harvest (2009 Remaster),Neil Young,1Q1b8eVkUPGlpSArl8JAVw,1972-02-14,75,187013,0.541,0.189,0.459,0.0274,0.099,0.803,-10.433,0.0297,171.165,4,4,Sad
All of Me,Love In The Future (Expanded Edition),John Legend,3U4isOIWM3VvDubwSI3y7a,2013-08-30,87,269560,0.422,0.922,0.264,0.0,0.132,0.331,-7.064,0.0322,119.93,8,4,Sad
Mystery,Mystery,Jeris,0nZ5Vx48UcSXpY2wLSTP4Z,2016-09-03,49,275133,0.371,0.263,0.437,8.78e-05,0.0776,0.108,-9.638,0.0428,125.937,0,4,Sad
Lie,Perception,NF,07FkzikE6FuHIa8Ma7zJGc,2017-10-06,80,209213,0.513,0.161,0.661,0.0,0.246,0.179,-6.419,0.24,94.791,5,4,Sad
The Funeral,Everything All The Time,Band of Horses,27IZXTdeGYjU6m5lTyDpmr,2006-03-21,19,322173,0.318,0.016,0.76,0.0,0.102,0.104,-6.115,0.0435,122.414,0,4,Sad
It's You,It's You,Ali Gatie,6moU77g9RQyMzHNuKEaQKq,2019-06-14,6,212606,0.732,0.374,0.463,0.0,0.194,0.397,-6.972,0.0287,95.971,11,4,Sad
The Voyager,The Voyager,Avenza,1J5bnQju0PQSLQNbZ1Shgd,2015-04-10,48,191927,0.486,0.12,0.614,0.691,0.0956,0.184,-8.045,0.0336,90.054,0,4,Sad
Jealous,Jealous,Labrinth,4L2K7JKseFCBoHMZEAszW0,2014-11-21,36,287693,0.439,0.874,0.153,0.0,0.107,0.104,-8.95,0.0479,116.76,1,3,Sad
Anyway,Garden,Scarlet Pleasure,3TReqlUK3GUJGYyFbciKJQ,2020-09-04,1,149310,0.784,0.775,0.373,0.0,0.0936,0.519,-8.083,0.0287,94.974,9,4,Sad
Before You Go,Divinely Uninspired To A Hellish Extent (Extended Edition),Lewis Capaldi,2gMXnyrvIjhVBUZwvLZDMP,2019-11-22,86,215106,0.459,0.604,0.575,0.0,0.0885,0.183,-4.858,0.0573,111.881,3,4,Sad
better off,glisten,Jeremy Zucker,7bdYxWPCs46dQ0XLwySOyv,2018-05-04,71,193946,0.708,0.747,0.322,9.24e-05,0.137,0.46,-12.46,0.0371,98.892,8,4,Sad
i'm not alright,i'm not alright,Ekoh,7wqeLg6wkt8mAVEQAd7opK,2021-01-08,49,169677,0.626,0.246,0.603,0.0,0.118,0.81,-9.087,0.0408,92.979,11,4,Sad
If You Want Love,Perception,NF,3i5qVV8azKqGFK4Gzdt5YS,2017-10-06,80,199386,0.551,0.659,0.386,0.0,0.125,0.245,-10.22,0.132,116.409,0,1,Sad
i love you,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,6CcJMwBtXByIz4zQLzFkKc,2019-03-29,83,291796,0.421,0.952,0.131,0.00453,0.109,0.12,-18.435,0.0382,137.446,0,4,Sad
I Fall Apart,Stoney (Deluxe),Post Malone,75ZvA4QfFiZvzhj2xkaWAh,2016-12-09,84,223346,0.556,0.0689,0.538,0.0,0.196,0.291,-5.408,0.0382,143.95,8,4,Sad
i won't hurt you,i won't hurt you,cøzybøy,05pVVbNY5Uj3V2uiumJhSu,2021-01-29,45,186666,0.272,0.725,0.358,0.00932,0.175,0.0917,-15.088,0.446,216.432,1,4,Sad
Skinny Love,Birdy,Birdy,4RL77hMWUq35NYnPLXBpih,2011-11-04,76,201080,0.379,0.952,0.29,0.00106,0.118,0.169,-8.485,0.051,166.467,4,4,Sad
Heal,Long Way Down (Deluxe),Tom Odell,4KlL5Bwlm4yHYxr0B2rHci,2013-06-24,74,193080,0.445,0.952,0.179,0.00056,0.107,0.119,-12.938,0.0396,72.246,1,4,Sad
A Thousand Years,A Thousand Years,Christina Perri,6lanRgr6wXibZr8KgzXxBl,2011-10-18,82,285120,0.421,0.309,0.407,0.000961,0.11,0.161,-7.445,0.0267,139.028,10,3,Sad
Already Gone,"Covers, Vol. 2",Sleeping At Last,5zCunX8URvLoBHlg1Fnjv6,2016-11-04,75,243007,0.418,0.954,0.248,4.21e-06,0.108,0.298,-9.997,0.0451,130.953,3,4,Sad
Get You Back,Get You Back,Thomas Reid,6l1IKqH9R4j5QZix62kKD8,2021-03-19,47,164000,0.763,0.367,0.41,0.0,0.356,0.247,-8.304,0.0386,104.955,9,4,Sad
Can I Be Him,Back from the Edge,James Arthur,0VhgEqMTNZwYL1ARDLLNCX,2016-10-28,79,246880,0.696,0.308,0.543,0.0,0.0939,0.479,-6.164,0.0489,107.969,11,4,Sad
Smoke & Ash,Smoke & Ash,Weisser Quiff,7jUBj3nZfs0dRqr68b4yxy,2020-08-05,57,164008,0.694,0.472,0.602,0.0982,0.109,0.329,-7.358,0.0276,104.997,10,4,Sad
feelings fade,me,gnash,4jnO4ztskhv3YkqgFnewtD,2015-12-25,64,240000,0.654,0.819,0.235,0.0,0.0891,0.061,-11.292,0.159,88.903,2,4,Sad
Last Kiss,Last Kiss,Jacob Tillberg,1uNiqZnW9OmhumrtYiClYN,2016-07-18,43,171434,0.76,0.0757,0.806,6.15e-06,0.159,0.158,-3.49,0.0823,104.938,0,4,Sad
Coaster,American Teen,Khalid,39KG4kom3enSx4GTThuDGt,2017-04-27,77,199120,0.441,0.935,0.219,0.0,0.115,0.244,-14.586,0.0419,94.021,8,4,Sad
Let Me Down Slowly,Narrated For You,Alec Benjamin,2qxmye6gAegTMjLKEBoR3d,2018-11-16,85,169353,0.652,0.74,0.557,0.0,0.124,0.483,-5.714,0.0318,150.073,1,4,Sad
Supermarket Flowers,÷ (Deluxe),Ed Sheeran,4VuS959DSpr82t3qBqCrWG,2017-03-03,78,221106,0.589,0.914,0.242,0.0,0.0887,0.257,-10.517,0.0442,89.749,6,4,Sad
Bag Boy - Lo-Fi Remix,Bag Boy (Lo-Fi Remix),BrxkenBxy,7iqGI6o8qV8t9TM3ukpITR,2021-03-19,50,138802,0.59,0.675,0.763,0.0,0.116,0.323,-5.019,0.273,165.98,9,4,Sad
Hold On,Hold On,Chord Overstreet,5vjLSffimiIP26QG5WcN2K,2017-02-03,84,198853,0.618,0.469,0.443,0.0,0.0829,0.167,-9.681,0.0526,119.949,2,4,Sad
In My Head,In My Head,Peter Manos,3bne7Qit5AbHkX6kWDItYP,2018-05-24,70,214533,0.499,0.745,0.181,0.00123,0.106,0.0747,-15.359,0.0429,111.956,9,4,Sad
I'm Not Enough and I'm Sorry,I'm Not Enough and I'm Sorry,Teqkoi,4P1L6AniTDJzANaubzWGYs,2018-10-27,70,120000,0.698,0.462,0.183,0.000424,0.335,0.244,-20.188,0.299,143.96,8,4,Sad
Waves,A Place We Knew,Dean Lewis,6w8pFOKn42O418qwcQElZ3,2019-03-22,79,240013,0.518,0.183,0.729,0.0,0.0643,0.343,-7.193,0.0452,156.879,11,4,Sad
Out Of Love,The Pains Of Growing,Alessia Cara,4WzhjxvLP95y7AMDy0Atwb,2018-11-30,79,227693,0.481,0.8,0.267,0.0,0.249,0.137,-9.249,0.0339,117.64,7,3,Sad
You Are The Reason,Only Human (Deluxe),Calum Scott,69vToJ9BMbbLlFZo7k7A7B,2018-03-09,84,204326,0.329,0.918,0.235,0.0,0.137,0.22,-7.699,0.0303,171.006,10,3,Sad
TEN FOLD,TEN FOLD,MOL$,5jlYhY7ucEgglx7oY8H8cY,2021-02-26,60,166106,0.676,0.0419,0.743,0.000772,0.09,0.672,-8.178,0.118,200.061,10,4,Sad
December,December,Tarz,55ddytBevcyiSUkTVioEIS,2016-12-03,48,303455,0.478,0.000382,0.62,0.834,0.095,0.0377,-6.801,0.036,174.053,2,4,Sad
One Day,One Day,Tate McRae,27r2uANqwK7XbsiAZnzf9e,2017-12-24,76,202496,0.52,0.922,0.119,0.0,0.0883,0.355,-12.148,0.0407,69.217,0,4,Sad
Can We Kiss Forever?,Can We Kiss Forever?,Kina,58wyJLv6yH1La9NIZPl3ne,2018-08-31,83,187931,0.522,0.894,0.128,0.026,0.0941,0.124,-18.717,0.0357,109.986,4,4,Sad
We Should Tell the Truth,We Should Tell the Truth,metr,3SR72eMiFDPIxMJc4587yN,2018-08-20,48,267291,0.808,0.0404,0.364,0.947,0.106,0.0484,-12.306,0.0753,105.036,7,4,Sad
Soul Selling,Soul Selling,Burgos,02A4nOMkhZqQtTp7mxF9Vc,2021-03-26,48,160390,0.868,0.0465,0.338,0.0212,0.119,0.273,-15.013,0.082,119.947,11,4,Sad
Miss You,Miss You,Coobie,62Z8KVNDZoaf8emKTO2nQt,2021-04-02,25,144994,0.654,0.271,0.56,0.0,0.105,0.575,-8.887,0.0628,159.784,6,4,Sad
Fake A Smile,Fake A Smile,Alan Walker,6rAGFY9D3ah6Lb7fUgbNNH,2021-02-19,81,168118,0.447,0.212,0.553,0,0.165,0.252,-4.817,0.0322,149.877,0,4,Sad
Another Time,Another Time,TWO LANES,2W9zh4QNFmuOyKHbtYYNm0,2021-02-25,59,255789,0.658,0.465,0.333,0.905,0.108,0.128,-16.737,0.046,113.991,10,4,Sad
Silhouette,Silhouette,Jacob Lee,2uYEcvKNeFmGdCHWT7i6OU,2020-05-01,39,301803,0.305,0.489,0.485,0,0.136,0.329,-9.752,0.0603,79.574,11,4,Sad
