,name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
135,Love Natural,Cave Rave,Crystal Fighters,04MNyOQZDvLsW2gjAm9q2L,2013-05-27,1,199526,0.654,0.0392,0.791,0.0,0.321,0.603,-6.243,0.048,133.042,11,4,Happy
137,"Hey, Soul Sister","Hey, Soul Sister",Train,0KpfYajJVVGgQ32Dby7e9i,2009-08-06,1,216666,0.675,0.217,0.885,0.0,0.086,0.768,-4.432,0.0436,97.03,1,4,Happy
138,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Funk Wav Bounces Vol.1,Calvin Harris,5bcTCxgc7xVfSaMV3RuVke,2017-06-30,76,223413,0.893,0.0642,0.745,0.0,0.0943,0.872,-3.105,0.0571,101.018,11,4,Happy
139,It's Tricky,Raising Hell,Run–D.M.C.,6jBCehpNMkwFVF3dz4nLIW,1986-05-15,75,183426,0.956,0.000844,0.72,0.0,0.0597,0.961,-13.476,0.137,127.872,11,4,Happy
140,Hot Pink Tiger,Hot Pink Tiger,Limón Limón,1iRlSxYYKp4T7TAgqt5jT4,2020-08-25,43,229920,0.693,0.00828,0.754,0.0198,0.445,0.432,-7.57,0.0309,123.98,4,4,Happy
141,Best Fake Smile,Chaos And The Calm,James Bay,0Me1AKVY2wzxOKLMiaAtNy,2015-03-20,50,205026,0.689,0.0231,0.887,0.0,0.275,0.937,-4.27,0.0424,142.014,11,4,Happy
142,Riptide,Dream Your Life Away (Special Edition),Vance Joy,3JvrhDOgAt6p7K8mDyZwRd,2014-09-09,80,204280,0.484,0.431,0.731,0.0,0.151,0.51,-6.694,0.0379,101.654,1,4,Happy
143,Should I Stay or Should I Go - Remastered,Hits Back,The Clash,3v8PlUFGQQDBIk1J86waCo,2013-08-26,66,188240,0.742,0.0832,0.838,0.0,0.418,0.848,-6.442,0.11,113.373,2,4,Happy
144,Drinking Wine,Hand Over Your Head,Oscar Lang,2zJGwCm2cqkb7q0qrOIMpY,2020-09-11,40,209803,0.434,2.64e-05,0.958,0.000245,0.101,0.746,-3.558,0.0543,145.063,11,4,Happy
145,Don't Slack (from Trolls World Tour),Don't Slack (from Trolls World Tour),Anderson .Paak,1bxa0TPdBMHPeZFHe0adCw,2020-03-10,57,174800,0.618,0.0842,0.837,0.0,0.344,0.8,-5.574,0.115,168.114,9,4,Happy
146,My Girls,My Girls,The Vanjas,4L8gG0XMQzKJfmygtHV5qZ,2018-01-26,38,165905,0.642,0.0166,0.855,0.193,0.27,0.623,-3.194,0.0913,136.062,11,4,Happy
147,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],Daft Punk,2Foc5Q5nqNiosCNqttzHof,2013-04-19,81,248413,0.794,0.0426,0.811,1.07e-06,0.101,0.862,-8.966,0.038,116.047,6,4,Happy
148,Feel It Still,Woodstock,Portugal. The Man,6QgjcU0zLnzq5OrUoSZ3OK,2017-06-16,80,163253,0.801,0.0417,0.795,0.000113,0.0717,0.754,-5.115,0.0504,79.028,1,4,Happy
149,I'm Alive,I'm Alive,TTRRUUCES,3cQzrjkL2UaGLX1abHxaIz,2020-05-28,40,229226,0.638,0.0733,0.85,0.0122,0.0867,0.545,-4.251,0.0524,100.015,9,4,Happy
150,Accidentally In Love,Shrek 2,Various Artists,1hy6Dic0L5SU1XqjhYY1TR,2004-01-01,0,188893,0.556,0.0499,0.929,1.7e-06,0.0931,0.842,-3.659,0.037,137.996,7,4,Happy
151,I'm Good,I'm Good,The Mowgli's,2kiJ5lZQZusgWwpqA7z2i1,2015-02-03,0,166920,0.613,0.00892,0.923,0.0,0.149,0.669,-5.234,0.0691,96.043,0,4,Happy
152,Walk Of Life,Sultans Of Swing - The Very Best Of Dire Straits,Dire Straits,7w4Tbkbx081vRJa8ol56Qf,1998-11-10,0,249333,0.461,0.416,0.936,0.000135,0.136,0.811,-6.824,0.104,172.43,4,4,Happy
153,Delilah,Delilah,3409,7MDSd5MwBcZuvZBHmWIkiy,2020-11-19,44,131200,0.686,0.147,0.497,8.24e-06,0.107,0.741,-6.508,0.0626,150.096,2,4,Happy
154,Jailhouse Rock,Elvis 30 #1 Hits,Elvis Presley,6pyex9B1kBoRIuabBAc4m8,2002-09-24,63,155333,0.635,0.314,0.672,5.03e-06,0.0688,0.895,-6.788,0.0637,166.903,10,4,Happy
155,Homerun (Radio Edit),Homerun (Radio Edit),The Brahms,6fWMEDCURTkeP9bPYvzcJe,2015-10-14,39,159407,0.532,0.0104,0.831,0.000183,0.0801,0.764,-4.359,0.0456,93.948,9,4,Happy
156,Grace Kelly,Life In Cartoon Motion,MIKA,4Sqc0kPuZpfI0T2TZBu8JT,2007-01-01,4,187733,0.676,0.0271,0.824,0.0152,0.363,0.696,-5.752,0.0449,122.221,0,4,Happy
157,Shine On,Konk,The Kooks,5zsvG3RApT8qMVl7673FqF,2008-01-01,50,194240,0.466,0.0763,0.634,0.0,0.0678,0.324,-5.3,0.0289,128.992,6,4,Happy
159,ABC,The Very Best Of Michael Jackson With The Jackson 5,Michael Jackson,6nzhhT57iQYrbqumru9NNP,1995-01-01,0,179973,0.559,0.448,0.752,0.00061,0.0907,0.946,-10.046,0.0581,187.712,8,4,Happy
160,Jungle Drum,Me And Armini,Emilíana Torrini,7BXToqZFtclAj6mshYWena,2008-09-08,13,133466,0.636,0.134,0.881,0.00952,0.074,0.845,-5.376,0.0758,118.237,2,4,Happy
161,Adventure of a Lifetime,Adventure of a Lifetime,Coldplay,4MFCXniy7I8tj0GXtf3wgC,2015-11-06,57,263786,0.638,0.00205,0.924,0.000175,0.149,0.53,-3.887,0.036,111.995,7,4,Happy
162,Norgaard,What Did You Expect from the Vaccines?,The Vaccines,1Q8reqCOXg2yqNr47HGo9X,2011-03-11,0,98400,0.323,5.12e-06,0.847,0.0208,0.25,0.859,-4.716,0.0348,173.914,11,4,Happy
163,Sunny,Take The Heat Off Me,Boney M.,3pf96IFggfQuT6Gafqx2rt,1976,71,242240,0.647,0.0876,0.868,0.124,0.129,0.803,-6.427,0.105,121.822,0,4,Happy
164,Best Day Of My Life,American Authors,American Authors,44AXd3UVaaVYsSQqBpnYO2,2013-01-01,0,194093,0.673,0.0525,0.901,0.000535,0.0736,0.503,-2.379,0.0348,100.002,2,4,Happy
166,Desire,Communion (Deluxe),Years & Years,6TMzuNLw1ZPgBqPKmnnObm,2015-07-10,56,203204,0.706,0.299,0.777,0.0,0.298,0.638,-4.591,0.0567,126.008,10,4,Happy
167,I'm Gonna Be (500 Miles),Finest,The Proclaimers,66S14BkJDxgkYxLl5DCqOz,2003-09-01,75,219466,0.851,0.151,0.551,0.0,0.0827,0.807,-5.177,0.0396,131.922,4,4,Happy
168,It's Love (but it's not mine),It's Love (but it's not mine),EUT,6i9uagZQiliNoEW8Jp10dX,2019-10-10,0,223813,0.516,0.000178,0.805,0.00135,0.413,0.72,-8.017,0.0311,136.67,5,4,Happy
170,My Type,My Type - Single,Saint Motel,6WP4WTHzaPTCk1QrbRLhgL,2013-07-23,0,203526,0.594,0.0288,0.83,0.0215,0.261,0.69,-5.727,0.0632,117.973,10,4,Happy
172,Let's Fall in Love Some More,Experience the Al Bairre Show With Al Bairre Experience,Al Bairre,1SZN00cfG8T8UxDmJeqjuv,2015-11-21,42,198826,0.607,0.0668,0.924,0.0,0.117,0.778,-5.684,0.0703,134.975,7,4,Happy
173,Friday I'm In Love,Wish,The Cure,20CNpCKq1oTdvekXaboyeq,1992-04-21,0,215160,0.526,0.00126,0.763,6.75e-05,0.359,0.514,-12.663,0.0341,136.205,0,4,Happy
174,Don't Stop (Color on the Walls),Torches,Foster The People,4HRa9ZWcmZ8JD7UySPu0wT,2011-05-23,65,174920,0.611,0.00183,0.948,0.0995,0.0969,0.79,-3.751,0.0753,133.004,1,4,Happy
175,One Way Or Another,Atomic: The Very Best Of Blondie,Blondie,5Q7cE6wGHMehLFo2ppkk5D,1998-01-01,56,208360,0.445,0.00402,0.872,0.00909,0.047,0.834,-6.294,0.0602,162.407,6,4,Happy
176,All My Friends Are Stoned,What About Now - EP,WizTheMc,7BL33HmuFQien4olebugdj,2020-10-30,59,159118,0.794,0.0871,0.628,0.0,0.181,0.935,-4.321,0.0328,121.793,6,4,Happy
177,Chelsea Dagger,Costello Music,The Fratellis,1bCmvezFg5MRcENzCGG1Cy,2006-01-01,69,215306,0.511,0.0491,0.815,0.0,0.0826,0.586,-3.14,0.144,154.514,7,4,Happy
178,The Bad Touch,Nu Rock,Various Artists,2qONptRzQM0D3BGOgAsapI,2007-01-01,49,259506,0.818,0.00209,0.688,0.0541,0.282,0.971,-7.083,0.0379,122.983,0,4,Happy
179,Caroline,Caroline,High Tropics,72NC9kHkFA7k98dE0t4xEX,2020-09-04,42,206753,0.462,5.65e-05,0.813,0.00352,0.227,0.595,-4.562,0.0327,129.99,9,4,Happy
180,Modern Love - Single Version; 2002 Digital Remaster,Best Of Bowie,David Bowie,2Rkfv2emuT4A1QU6dJmf5V,2002-10-21,0,238293,0.464,0.00227,0.895,0.00394,0.13,0.932,-7.683,0.031,91.905,0,4,Happy
181,Suddenly I See,Eye To The Telescope,KT Tunstall,5p9XWUdvbUzmPCukOmwoU3,2005-01-01,71,201706,0.587,0.225,0.767,0.0,0.112,0.664,-5.713,0.0449,100.38,0,4,Happy
182,I Will Survive - Remastered,Gloria Gaynor (Remastered),Gloria Gaynor,2DX0WG5OGLQLaXb41Cq1IA,2008-01-01,52,295666,0.704,0.0346,0.631,0.0,0.159,0.793,-12.299,0.0398,123.286,9,4,Happy
183,Jerk It Out,Love For The Streets,Caesars,5XMjXjwCkJVmk0AHm7z8IV,2002,65,195666,0.58,0.0171,0.981,1.07e-05,0.386,0.861,-2.603,0.06,134.007,8,4,Happy
184,Start Me Up,GRRR! (Deluxe Version),The Rolling Stones,52MW2hwNmLa0KdsZZk8360,2012-01-01,0,212960,0.629,0.0273,0.905,0.199,0.0644,0.967,-4.745,0.0378,122.448,5,4,Happy
185,Baby Love,Lil Empire,Petite Meller,1YyHm1dSJ2JBK0QK769Z82,2016-09-09,44,221721,0.621,0.2,0.915,0.00332,0.0964,0.818,-5.224,0.0411,130.013,1,4,Happy
186,Surfin' U.S.A. - Remastered,The Very Best Of The Beach Boys: Sounds Of Summer,The Beach Boys,7sVxvaLH9Bx9YZyBjdRpdQ,2003-01-01,45,148626,0.55,0.656,0.868,0.0,0.136,0.962,-5.472,0.0361,158.563,3,4,Happy
187,Confident,Confident,LEFT.,1r7rNbAcw17mhrap3ofjSb,2020-05-01,47,177777,0.507,0.0079,0.599,0.0,0.0909,0.516,-7.074,0.0934,89.932,0,4,Happy
189,High,Young Rising Sons,Young Rising Sons,4gTwPFGhIIlYtlo59jbVUB,2014-07-08,53,165720,0.646,0.028,0.85,7.21e-05,0.281,0.518,-5.145,0.043,116.999,7,4,Happy
190,Can't Buy Me Love - Remastered 2015,1 (Remastered),The Beatles,7pQAq14Z73YUFMtxCyt0bG,2000-11-13,0,131213,0.426,0.118,0.76,0.0,0.325,0.955,-4.082,0.0414,171.838,0,4,Happy
191,I_feel_good,I_feel_good,FATCAT,3E7HFO84HdWVJXzqKE82xO,2020-04-10,36,201418,0.7,0.013,0.903,0.0,0.194,0.96,-5.811,0.097,159.95,1,4,Happy
192,Proud Mary,Bayou Country (40th Anniversary Edition),Creedence Clearwater Revival,6pxWv6GV35VGmcPf5dh6CH,1969-01-05,69,187213,0.699,0.13,0.641,0.000218,0.0601,0.728,-7.564,0.0289,120.745,2,4,Happy
193,Smaller,Smaller,Erik Hassle,1gStng1TuTLt0SaISWL14r,2015-11-20,37,205093,0.405,0.415,0.728,0.0,0.0777,0.342,-4.76,0.0433,188.701,7,4,Happy
194,Beautiful Day,All That You Can't Leave Behind,U2,0gzqZ9d1jIKo9psEIthwXe,2000-01-01,75,248400,0.536,0.0154,0.928,0.00134,0.2,0.389,-6.492,0.0589,136.258,11,4,Happy
195,Lisztomania,Wolfgang Amadeus Phoenix,Phoenix,7zkDEBSxkcBVsStS4qBFpK,2009,67,241546,0.635,0.0349,0.786,0.00767,0.497,0.305,-6.46,0.0377,97.54,0,4,Happy
196,Dancing in the Moonlight,Dancing In The Moonlight: The Best Of Toploader,Toploader,1FHNctV68GUNLgXclG2DtR,2009-04-22,70,233373,0.639,0.0528,0.845,0.0,0.336,0.871,-3.333,0.0372,119.48,0,4,Happy
197,LA Calling,Cave Rave,Crystal Fighters,4fCHoHmwmX8LgAp6A1GULJ,2013-05-27,0,229243,0.574,0.0607,0.887,2.41e-06,0.334,0.622,-6.172,0.0565,136.057,11,4,Happy
198,You Can't Hurry Love,"Hello, I Must Be Going",Phil Collins,4YUlGNZfYA6EUE5KDsGqpC,1982-11-17,0,175346,0.639,0.0674,0.923,0.0,0.0879,0.761,-5.708,0.032,97.874,7,4,Happy
199,Side Effects (feat. Emily Warren),Sick Boy...Side Effects,The Chainsmokers,5yNEdBlZMxpcVtGKz5NFk5,2018-07-27,0,173613,0.673,0.00277,0.71,0.0,0.55,0.54,-6.744,0.0324,110.017,8,4,Happy
200,Clouds,Clouds,Paper Idol,6ujXniXS1XhMvBboH604FN,2020-10-30,50,184468,0.74,0.135,0.632,0.00808,0.19,0.498,-4.979,0.0837,92.096,6,4,Happy
201,My Generation - Mono Version,The Who Sings My Generation (U.S. Version),The Who,45s88Xopo6KvHc0PQ05aGg,1966-04-01,61,198866,0.299,0.14,0.787,0.0,0.292,0.716,-7.93,0.069,94.798,0,4,Happy
202,Shotgun,Staying at Tamara's,George Ezra,4ofwffwvvnbSkrMSCKQDaC,2018-03-23,80,201287,0.672,0.286,0.735,0.0,0.242,0.754,-4.733,0.0457,115.741,5,4,Happy
203,Born to Be Alive,Born to Be Alive,Patrick Hernandez,3XIEWK1V9n25PS9Vb6axj5,1978,70,188133,0.704,0.0846,0.867,0.0,0.206,0.809,-5.808,0.0315,131.467,2,4,Happy
204,Price Tag,Who You Are (Platinum Edition),Jessie J,2fTsFCKRFQ5M0igJgabnLA,2011-01-01,74,223053,0.636,0.0294,0.831,3.85e-06,0.272,0.668,-3.945,0.182,175.015,5,4,Happy
205,Girls,The 1975,The 1975,5WSdMcWTKRdN1QYVJHJWxz,2013-01-01,62,254620,0.657,0.00392,0.913,0.00149,0.466,0.906,-4.984,0.0528,108.036,11,4,Happy
206,If You Wanna Be Happy,If You Wanna Be Happy,Jimmy Soul,3eKkMH08IN5qbjp8wv6cV8,2014-03-07,32,143229,0.639,0.611,0.875,1.18e-05,0.204,0.873,-8.231,0.0413,93.242,10,4,Happy
207,San Francisco,Love's Not Dead EP,The Mowgli's,3zdI8HDPKoMsCRkmpQTblk,2012-01-01,38,172893,0.363,0.0131,0.893,0.0,0.0825,0.37,-4.81,0.0584,93.041,11,4,Happy
208,Come On Eileen,Too Rye Ay,Dexys Midnight Runners,4jKojTEsrJtUU5rNp3gbGQ,1982-08,0,273933,0.435,0.519,0.652,0.0,0.129,0.806,-8.495,0.0404,108.097,0,4,Happy
209,Work This Body,TALKING IS HARD,WALK THE MOON,76EeScTnI2sCjDY0SfEoSb,2014-12-02,60,175906,0.421,0.0283,0.831,0.0,0.464,0.488,-5.128,0.107,134.027,4,4,Happy
210,Got My Mind Set On You,Now & Then,Damien Leith,5CPayysVhU2BlNXw2kG59L,2012-04-23,42,227800,0.674,0.0338,0.84,0.000441,0.0941,0.875,-3.879,0.0746,150.011,1,4,Happy
211,Song Away,Song Away,Hockey,0mIPUewslxddIZHnWuPnMD,2009-01-01,28,198320,0.639,0.0276,0.72,0.0,0.113,0.921,-4.253,0.0284,131.797,6,4,Happy
212,Hit The Road Jack,Miami Lighthouse for the Blind Presents: Instrumental Magic,Jeff Zavac featuring The Craetts,7sXxvOVFtMr31xj0kX9BFV,2006-10-01,63,129906,0.593,0.0841,0.752,0.00308,0.197,0.935,-6.617,0.0313,172.087,8,4,Happy
213,Heavy,Heavy,Animal House,2XAZbgSesR2bdSNkBFJmyu,2014-11-01,35,139088,0.507,0.00164,0.753,0.00087,0.168,0.968,-4.064,0.0339,179.948,11,4,Happy
214,I'm a Believer,The Definitive Monkees,The Monkees,5RKZ9zCtLjBLTea7qkSFqr,2001-01-29,43,166906,0.519,0.534,0.772,1.21e-05,0.271,0.961,-6.784,0.0331,79.618,0,4,Happy
215,Rather Be (feat. Jess Glynne),New Eyes,Clean Bandit,61dCUoMCg28qEBzrW6htYM,2014-06-02,72,227833,0.799,0.162,0.586,2.03e-06,0.193,0.549,-6.735,0.0377,120.97,11,4,Happy
216,Walkin' On The Sun,Smash Mouth (International Version),Smash Mouth,1m2EwoCsZlX5JauNr9O4zk,2001-01-01,0,205826,0.732,0.456,0.973,0.0,0.154,0.967,-5.33,0.0319,123.292,6,4,Happy
217,Moves Like Jagger - Studio Recording From The Voice Performance,Hands All Over (Revised International Standard version),Maroon 5,7pYfyrMNPn3wtoCyqcTVoI,2010,78,201493,0.722,0.0117,0.761,0.0,0.315,0.624,-4.459,0.0475,128.044,11,4,Happy
218,All That She Wants,Happy Nation,Ace of Base,12BbMJsJi65mxneq6c9Lm7,1992-11-16,1,211213,0.707,0.00526,0.628,8.21e-05,0.104,0.87,-9.684,0.0877,187.548,11,4,Happy
220,Happy Hour,Soup,The Beautiful South,37i2PeqCGD4WqfGZeQgmXy,2007-01-01,36,142440,0.51,0.113,0.918,2.31e-06,0.115,0.94,-6.219,0.0433,95.876,10,4,Happy
221,"Happy - From ""Despicable Me 2""",G I R L,Pharrell Williams,5b88tNINg4Q4nrRbrCXUmg,2014-03-03,6,232720,0.647,0.219,0.822,0.0,0.0908,0.962,-4.662,0.183,160.019,5,4,Happy
222,Go Your Own Way,Rumours,Fleetwood Mac,0FeCO85RKW8fDRytwXof2x,1977-02-04,18,218400,0.597,0.0219,0.812,0.00106,0.102,0.823,-12.062,0.0315,135.68,5,4,Happy
223,Everybody Talks,Everybody Talks,Neon Trees,74mS2Q0bTQsq3dHuQ55Zj8,2011-12-19,0,179386,0.479,0.00767,0.931,0.0,0.306,0.708,-3.976,0.0613,154.931,8,4,Happy
224,99 Red Balloons,The Definitive 80's (eighties),Various Artists,0XSxZ0cpHcZIpPA7TgSOwZ,2007-12-10,0,230186,0.474,0.187,0.57,0.0,0.106,0.535,-3.188,0.068,94.16,4,4,Happy
225,On Our Way,Royal,The Royal Concept,2cT0rywZk7Mz7xZEpjdZde,2013-01-01,0,193853,0.582,0.00777,0.787,0.0,0.182,0.368,-5.923,0.0877,130.953,1,4,Happy
226,Gotta Go Home,America - Das Party Album,Boney M.,0SDcjtJXrI6jAtD6AkQ6SR,2009-08-27,46,224453,0.74,0.223,0.945,0.116,0.356,0.975,-5.666,0.0314,131.644,1,4,Happy
227,Something That I Want,Enredados (Rapunzel) OST,Various Artists,5faGyT8owqkeioEf5PDeIB,2011-01-01,15,163400,0.551,0.0123,0.834,0.000936,0.472,0.962,-5.882,0.0482,168.944,5,4,Happy
228,So Lonely,The Very Best Of Sting And The Police,Sting,36sl2chZHvRyHlAooKr5va,2002-01-01,0,287920,0.532,0.0182,0.586,9.8e-06,0.0963,0.737,-7.503,0.179,77.705,7,4,Happy
229,Sister Of Pearl,Sister Of Pearl,Baio,1iF2TYT5ScZ2BStvrrxyrE,2015-06-16,0,253439,0.736,0.0808,0.676,0.149,0.197,0.935,-7.28,0.0408,125.046,5,4,Happy
230,I'm Still Standing,Too Low For Zero,Elton John,1jDJFeK9x3OZboIAHsY9k2,1983-05-30,83,183440,0.504,0.356,0.904,0.121,0.14,0.772,-6.863,0.179,176.808,6,4,Happy
231,Sweet About Me,Sweet About Me (e-MAXI INT),Gabriella Cilmi,2Wbf4FpDxo9CGmepoV2RfU,2008-01-01,38,203280,0.682,0.164,0.724,0.0,0.301,0.491,-5.055,0.0306,132.051,3,4,Happy
232,Conga!,The Very Best Of Gloria Estefan (English Version),Gloria Estefan,0KxTWgl64TNOQXiGFJYc6t,1984,59,252933,0.782,0.141,0.873,0.0571,0.112,0.858,-7.157,0.0475,123.181,2,4,Happy
233,Stronger (What Doesn't Kill You),Stronger (Deluxe Version),Kelly Clarkson,1nInOsHbtotAmEOQhtvnzP,2011-10-24,77,221946,0.562,0.046,0.939,0.0,0.112,0.684,-4.282,0.0475,116.044,0,4,Happy
234,You Make My Dreams (Come True),The Very Best of Daryl Hall / John Oates,Daryl Hall & John Oates,7HX9f8AMBl0vQxAoAzLqhS,2001-01-23,65,187600,0.749,0.13,0.484,0.137,0.0486,0.939,-9.944,0.0484,167.084,5,4,Happy
235,Perfect Strangers,Perfect Strangers,Jonas Blue,1Te8WIfLudxjHTr66BL0JK,2016-06-03,2,196613,0.731,0.394,0.822,0.0,0.288,0.708,-5.305,0.0459,118.021,1,4,Happy
236,It's Just Gotta Be That Way,It’s Just Got To Be That Way / There Goes My Baby,Bobby Angelle,1ALSCAxmx0zSt27vzEtLkZ,2015-02-23,0,165426,0.683,0.533,0.719,1.84e-05,0.112,0.907,-4.568,0.0299,118.731,7,4,Happy
237,I Will Wait,Babel (Deluxe Version),Mumford & Sons,71O1jD7bF3cdMPvPi186V6,2012-09-21,0,276720,0.477,0.0155,0.776,0.00314,0.203,0.429,-5.056,0.0349,131.004,1,4,Happy
239,I Spy,I Spy EP,Mikhael Paskalev,3lo2RJDjqTUePp6KhGu3Eq,2013-11-18,33,160933,0.628,0.377,0.886,8.65e-06,0.186,0.694,-4.253,0.0485,123.942,11,4,Happy
240,Rock Around the Clock,Rock Around the Clock (20 Hits),Bill Haley,3vGmNTCxk0OnOWbzIVFHgK,2007-06-10,0,133226,0.806,0.267,0.657,0.000182,0.224,0.702,-11.574,0.158,89.492,9,4,Happy
241,Silence,Silence,thom.ko,0nF3fbJFkhkd804YDhwNEA,2020-06-12,36,185316,0.697,0.137,0.824,0.00702,0.141,0.599,-6.328,0.111,158.023,5,4,Happy
242,Give It Up,Summer Sensations,Various Artists,4AdgZcX33Iq9fQGRHWDr5j,2011-07-10,0,245706,0.837,0.0754,0.592,0.000251,0.0671,0.836,-14.264,0.0671,125.686,3,4,Happy
243,Paint a Smile On Me - Radio Edit,Paint a Smile On Me,Black Yaya,2hrsRRydXNtspNSehQU8RD,2013-09-09,37,203934,0.736,0.0393,0.813,1.64e-06,0.164,0.933,-4.296,0.0853,118.968,7,4,Happy
245,The Game of Love - Main/Radio Mix,Ultimate Santana,Santana,2RjkntlqlkbPFQjufJf8G9,2007-10-10,0,254213,0.597,0.0776,0.93,0.000404,0.0566,0.693,-3.23,0.0477,119.788,2,4,Happy
246,Back To You,Twin Forks,Twin Forks,5F58VuAd1uTLEa3ojeaQfF,2014-02-25,0,170960,0.561,0.00706,0.849,0.0,0.0822,0.411,-5.544,0.0582,129.061,2,4,Happy
247,Stuck In The Middle With You,Reservoir Dogs (Original Motion Picture Soundtrack),Various Artists,1b7LMtXCXGc2EwOIplI35z,2009-01-01,72,203893,0.795,0.0934,0.564,0.000531,0.0631,0.961,-10.482,0.0392,124.166,7,4,Happy
248,Beat Of My Drum,Legendary,POWERS,6TGQYJzWx0IJrzK41mvSFG,2015-10-16,0,206280,0.774,0.053,0.91,9.67e-06,0.095,0.881,-2.456,0.0722,120.02,4,4,Happy
249,Summer Of '69,Reckless,Bryan Adams,6cnd6UwOyvEPWUjuuDKMIP,1984-11-01,0,216426,0.508,0.0157,0.725,1.26e-06,0.0995,0.741,-10.795,0.0344,138.934,2,4,Happy
250,I Believe in a Thing Called Love,Permission to Land,The Darkness,756CJtQRFSxEx9jV4P9hpA,2003-07-07,70,217653,0.442,0.0538,0.846,4.71e-06,0.282,0.622,-5.214,0.0764,128.235,4,4,Happy
251,Lightning Bolt,Jake Bugg,Jake Bugg,5s9sZ2i76iAZeFt5f9uUKP,2012-01-01,0,144013,0.561,0.0634,0.846,0.0,0.193,0.75,-4.48,0.0867,116.168,9,4,Happy
253,If You Wanna Stay,Be Impressive,The Griswolds,6cfPJNoqJsiikMm2TmpiwT,2014-08-25,0,159853,0.543,0.000459,0.946,0.000259,0.108,0.221,-3.888,0.0391,116.515,5,4,Happy
254,Move Your Feet,D-D-Don't Don't Stop the Beat,Junior Senior,7cGfrVoC7G03XeXn7yflx5,2002-04-03,0,181826,0.747,0.046,0.904,0.106,0.203,0.846,-2.623,0.0803,118.877,9,4,Happy
255,Faith - Remastered,Faith,George Michael,0HEmnAUT8PHznIAAmVXqFJ,1987-10-30,76,193200,0.887,0.0094,0.48,3.58e-05,0.0662,0.607,-11.994,0.117,95.846,11,4,Happy
256,I Gotta Have It,Jace Everett,Jace Everett,7mltbDRKBRKXff3dOtwqcA,2006-01-01,33,163893,0.533,0.269,0.964,6.29e-05,0.0642,0.812,-4.712,0.0878,156.149,4,4,Happy
257,Town Called Malice,The Jam Story,The Jam,73RGpQg8Cxtly4QuHtNiOd,2006-06-05,0,172866,0.534,0.000855,0.943,0.0264,0.0697,0.823,-5.898,0.0845,101.754,2,4,Happy
258,Pretoria Girls,Enjoy Yourself,Desmond and the Tutus,6zkVSIgcGnqromeMTYmXv4,2015-11-02,40,262706,0.553,0.00585,0.724,4.72e-05,0.366,0.383,-6.486,0.0359,128.024,2,4,Happy
259,Sweet Home Alabama,Lynyrd Skynyrd,Lynyrd Skynyrd,74QCZPlpayjvQ4yJJFljfQ,1991-01-01,0,285160,0.601,0.181,0.593,0.000441,0.121,0.902,-11.685,0.0257,97.784,0,4,Happy
260,Waterloo,18 Hits (International Version),ABBA,2p0QBZeBS5WGZG4P7SbQv0,2005-01-01,0,166333,0.441,0.423,0.908,2.88e-06,0.325,0.808,-6.481,0.0425,147.597,2,4,Happy
261,Restless Year,Restless Year,Ezra Furman,3VuPTxBQqGGuXH0u0ic14D,2015-03-09,0,145000,0.704,0.0383,0.845,2.03e-05,0.12,0.623,-9.516,0.0535,94.52,9,4,Happy
262,Ain't No Mountain High Enough - Stereo Version,20th Century Masters: The Millennium Collection: The Best Of Marvin Gaye & Tammi Terrell,Tammi Terrell,4gbR24XpCUTkoElYKZlrpO,2000-01-01,0,149066,0.674,0.27,0.794,2.47e-06,0.211,0.685,-7.361,0.0726,129.292,7,4,Happy
263,Moi je joue,Bubble Gum (Vol. 2),Brigitte Bardot,1YvAIf8NVPTlEwInU6mOBk,1994-01-01,0,102666,0.652,0.41,0.742,0.052,0.323,0.736,-9.687,0.0501,106.096,9,4,Happy
264,Rock DJ - 2004 Mix,In And Out Of Consciousness: Greatest Hits 1990 - 2010,Robbie Williams,0lJEYLAJU5KtthQroas2ou,2010-01-01,52,257373,0.709,0.0229,0.768,0.0,0.417,0.869,-4.274,0.0324,103.036,7,4,Happy
265,Umbrella,Strike! (New Exclusive Version),The Baseballs,598ioS7kbtHNBemw00dRqh,2010-02-08,44,186906,0.643,0.438,0.879,0.0,0.107,0.952,-3.602,0.0426,106.077,10,4,Happy
266,Think,Aretha Franklin,Aretha Franklin,1wwmkKWOk330VnN9IroMOI,2006-02-27,0,138480,0.683,0.164,0.659,0.0,0.248,0.919,-9.424,0.0412,109.952,6,4,Happy
267,Cake By The Ocean,SWAAY,DNCE,42ftjU4cTN5UTRksyqBKZJ,2015-10-23,0,218440,0.771,0.147,0.76,0.0,0.053,0.881,-5.459,0.0514,119.0,4,4,Happy
268,You Can Call Me Al,The Essential Paul Simon,Paul Simon,6wLr2oR8eqUG5Beleh2Crm,2007,59,276360,0.777,0.126,0.725,0.0108,0.0917,0.851,-9.012,0.047,128.349,5,4,Happy
269,Walk Like an Egyptian,80s 100 Hits,Various Artists,1gb5sUe1CuRBuT8twq8uhw,2010-02-26,49,192813,0.716,0.0117,0.828,2.1e-06,0.301,0.771,-13.065,0.104,103.155,11,4,Happy
